,bill,person,vote
199,hr26-115,K000009,0
200,hr26-115,K000386,1
201,hr26-115,K000375,0
202,hr26-115,K000385,0
203,hr26-115,K000388,1
204,hr26-115,K000376,1
205,hr26-115,K000379,0
206,hr26-115,K000389,0
207,hr26-115,K000390,0
208,hr26-115,K000380,0
209,hr26-115,K000381,0
210,hr26-115,K000188,0
211,hr26-115,K000362,1
212,hr26-115,K000210,1
213,hr26-115,K000378,1
214,hr26-115,K000387,1
215,hr26-115,K000391,0
216,hr26-115,K000382,0
217,hr26-115,K000392,1
218,hr26-115,L000573,1
219,hr26-115,L000585,1
220,hr26-115,L000578,1
221,hr26-115,L000564,1
222,hr26-115,L000567,1
223,hr26-115,L000559,0
224,hr26-115,L000560,0
225,hr26-115,L000557,0
226,hr26-115,L000566,1
227,hr26-115,L000581,0
228,hr26-115,L000586,0
229,hr26-115,L000551,0
230,hr26-115,L000263,0
231,hr26-115,L000287,0
232,hr26-115,L000587,1
233,hr26-115,L000582,0
234,hr26-115,L000563,0
235,hr26-115,L000554,1
236,hr26-115,L000565,0
237,hr26-115,L000397,0
238,hr26-115,L000576,1
239,hr26-115,L000583,1
240,hr26-115,L000584,1
241,hr26-115,L000579,0
242,hr26-115,L000480,0
243,hr26-115,L000491,1
244,hr26-115,L000569,1
245,hr26-115,L000580,0
246,hr26-115,L000570,0
247,hr26-115,L000562,0
248,hr26-115,M001193,1
249,hr26-115,M000087,0
250,hr26-115,M001185,0
251,hr26-115,M001158,1
252,hr26-115,M001179,1
253,hr26-115,M001198,1
254,hr26-115,M001184,1
255,hr26-115,M001199,1
256,hr26-115,M001163,0
257,hr26-115,M001165,1
258,hr26-115,M001157,1
259,hr26-115,M001177,1
260,hr26-115,M001143,0
261,hr26-115,M001200,0
262,hr26-115,M000312,0
263,hr26-115,M001156,1
264,hr26-115,M001180,1
265,hr26-115,M001159,1
266,hr26-115,M001166,0
267,hr26-115,M001197,1
268,hr26-115,M001187,1
269,hr26-115,M001181,1
270,hr26-115,M001137,0
271,hr26-115,M001188,0
272,hr26-115,M001189,1
273,hr26-115,M001201,1
274,hr26-115,M001194,1
275,hr26-115,M001195,1
276,hr26-115,M001160,0
277,hr26-115,M001196,0
278,hr26-115,M001190,1
279,hr26-115,M001182,0
280,hr26-115,M001202,0
281,hr26-115,M001151,1
282,hr26-115,N000002,0
283,hr26-115,N000179,0
284,hr26-115,N000015,0
285,hr26-115,N000189,1
286,hr26-115,N000184,1
287,hr26-115,N000127,0
288,hr26-115,N000188,0
289,hr26-115,N000181,1
290,hr26-115,O000171,0
291,hr26-115,O000170,0
292,hr26-115,O000168,1
293,hr26-115,P000601,1
294,hr26-115,P000034,0
295,hr26-115,P000609,1
296,hr26-115,P000613,0
297,hr26-115,P000096,0
298,hr26-115,P000594,1
299,hr26-115,P000604,0
300,hr26-115,P000588,1
301,hr26-115,P000197,0
302,hr26-115,P000593,0
303,hr26-115,P000605,1
304,hr26-115,P000608,0
305,hr26-115,P000258,1
306,hr26-115,P000597,0
307,hr26-115,P000606,1
308,hr26-115,P000607,0
309,hr26-115,P000592,1
310,hr26-115,P000611,1
311,hr26-115,P000598,0
312,hr26-115,P000602,0
313,hr26-115,P000599,1
314,hr26-115,P000523,0
315,hr26-115,P000591,0
316,hr26-115,Q000023,0
317,hr26-115,R000606,0
318,hr26-115,R000601,1
319,hr26-115,R000585,1
320,hr26-115,R000578,1
321,hr26-115,R000586,1
322,hr26-115,R000602,0
323,hr26-115,R000597,1
324,hr26-115,R000588,0
325,hr26-115,R000591,1
326,hr26-115,R000582,1
327,hr26-115,R000575,1
328,hr26-115,R000395,1
329,hr26-115,R000409,1
330,hr26-115,R000592,1
331,hr26-115,R000607,1
332,hr26-115,R000583,1
333,hr26-115,R000435,1
334,hr26-115,R000608,0
335,hr26-115,R000580,1
336,hr26-115,R000593,1
337,hr26-115,R000598,1
338,hr26-115,R000603,1
339,hr26-115,R000486,0
340,hr26-115,R000487,1
341,hr26-115,R000599,0
342,hr26-115,R000576,0
343,hr26-115,R000515,0
344,hr26-115,R000604,1
345,hr26-115,R000609,1
346,hr26-115,R000577,0
347,hr26-115,S001156,0
348,hr26-115,S000051,1
349,hr26-115,S001168,0
350,hr26-115,S001176,1
351,hr26-115,S001145,0
352,hr26-115,S001150,0
353,hr26-115,S001190,0
354,hr26-115,S001183,1
355,hr26-115,S000185,0
356,hr26-115,S001189,1
357,hr26-115,S001157,0
358,hr26-115,S000244,1
359,hr26-115,S000248,0
360,hr26-115,S000250,1
361,hr26-115,S001185,0
362,hr26-115,S001170,0
363,hr26-115,S000344,0
364,hr26-115,S000364,1
365,hr26-115,S001154,1
366,hr26-115,S001148,1
367,hr26-115,S001191,0
368,hr26-115,S001165,0
369,hr26-115,S000480,0
370,hr26-115,S001195,1
371,hr26-115,S001172,1
372,hr26-115,S000522,1
373,hr26-115,S000583,1
374,hr26-115,S000510,0
375,hr26-115,S001199,1
376,hr26-115,S001200,0
377,hr26-115,S001175,0
378,hr26-115,S001196,1
379,hr26-115,S001192,1
380,hr26-115,S001187,1
381,hr26-115,S001201,0
382,hr26-115,S001193,0
383,hr26-115,T000472,0
384,hr26-115,T000477,1
385,hr26-115,T000478,1
386,hr26-115,T000460,0
387,hr26-115,T000193,0
388,hr26-115,T000467,1
389,hr26-115,T000238,1
390,hr26-115,T000462,1
391,hr26-115,T000470,1
392,hr26-115,T000468,0
393,hr26-115,T000469,0
394,hr26-115,T000474,0
395,hr26-115,T000475,1
396,hr26-115,T000465,0
397,hr26-115,T000463,1
398,hr26-115,U000031,1
399,hr26-115,V000129,1
400,hr26-115,V000130,0
401,hr26-115,V000131,0
402,hr26-115,V000132,0
403,hr26-115,V000081,0
404,hr26-115,V000108,0
405,hr26-115,W000812,1
406,hr26-115,W000798,1
407,hr26-115,W000791,1
408,hr26-115,W000819,1
409,hr26-115,W000813,1
410,hr26-115,W000820,1
411,hr26-115,W000799,0
412,hr26-115,W000797,0
413,hr26-115,W000187,0
414,hr26-115,W000822,0
415,hr26-115,W000814,1
416,hr26-115,W000806,1
417,hr26-115,W000800,0
418,hr26-115,W000815,1
419,hr26-115,W000821,1
420,hr26-115,W000816,1
421,hr26-115,W000808,0
422,hr26-115,W000795,1
423,hr26-115,W000804,1
424,hr26-115,W000809,1
425,hr26-115,W000810,1
426,hr26-115,Y000062,0
427,hr26-115,Y000063,1
428,hr26-115,Y000065,1
429,hr26-115,Y000033,1
430,hr26-115,Y000066,1
431,hr26-115,Z000017,1
432,hr26-115,Z000018,1
433,hr26-115,R000570,0
434,sconres3-115,A000374,1
435,sconres3-115,A000370,0
436,sconres3-115,A000055,1
437,sconres3-115,A000371,0
438,sconres3-115,A000372,1
439,sconres3-115,A000367,0
440,sconres3-115,A000369,1
441,sconres3-115,A000375,1
442,sconres3-115,B001291,1
443,sconres3-115,B001298,1
444,sconres3-115,B001299,1
445,sconres3-115,B001269,1
446,sconres3-115,B001282,1
447,sconres3-115,B001300,0
448,sconres3-115,B000213,1
449,sconres3-115,B001270,0
450,sconres3-115,B001281,0
451,sconres3-115,B000287,0
452,sconres3-115,B001287,0
453,sconres3-115,B001301,1
454,sconres3-115,H001056,1
455,sconres3-115,B001292,0
456,sconres3-115,B001302,1
457,sconres3-115,B001257,1
458,sconres3-115,B000490,0
459,sconres3-115,B001293,1
460,sconres3-115,B001250,1
461,sconres3-115,B001273,1
462,sconres3-115,B001243,1
